Dataset:      Probabilities of age classes for immigrants (version 0).
Description:  These are probabilities of falling into one of six age classes,
              for immigrants entering England and Wales for each year, by
              sex and region of birth. For this version (model version SSAV=0),
              region of birth is UK or non-UK.
Label r:      Region of birth, 0=Non-UK, 1=UK.
Label s:      Sex, 0=male, 1=female.
Label a:      Age class.
              0=<15
              1=15-24
              2=25-34
              3=35-44
              4=45-59
              5=60+

|r|s|y |a0   |a1   |a2   |a3   |a4   |a5
|1|1|7 |0.175|0.342|0.269|0.099|0.078|0.037
|1|1|8 |0.148|0.338|0.243|0.144|0.056|0.071
|1|1|9 |0.178|0.292|0.262|0.164|0.085|0.022
|1|1|10|0.164|0.316|0.290|0.075|0.106|0.049
|1|1|11|0.120|0.345|0.262|0.086|0.169|0.020
|1|1|12|0.150|0.243|0.270|0.195|0.104|0.037
|1|1|13|0.117|0.229|0.429|0.144|0.061|0.022
|1|1|14|0.043|0.257|0.426|0.145|0.112|0.013
|1|1|15|0.090|0.243|0.295|0.194|0.156|0.023
|1|1|16|0.191|0.180|0.360|0.117|0.094|0.057
|1|1|17|0.218|0.146|0.450|0.102|0.052|0.030
|1|1|18|0.089|0.214|0.347|0.228|0.078|0.042
|1|1|19|0.091|0.243|0.246|0.340|0.054|0.029
|1|1|20|0.059|0.205|0.392|0.277|0.067|0.000
|1|1|21|0.071|0.320|0.311|0.136|0.074|0.084
|1|1|22|0.074|0.159|0.252|0.218|0.248|0.051
|1|1|23|0.083|0.243|0.225|0.188|0.174|0.087
|1|1|24|0.098|0.154|0.373|0.180|0.176|0.020
|1|1|25|0.256|0.128|0.206|0.270|0.096|0.039
|1|1|26|0.058|0.257|0.216|0.203|0.112|0.149
|1|1|27|0.029|0.124|0.375|0.247|0.175|0.058
|1|1|28|0.118|0.154|0.288|0.193|0.193|0.059
